Time,NetEnergy,DiffEnergy
1.7856e-05,0.0664422,0.0664422
0.00025,0.166612,0.10017
0.000267856,0.233054,0.0664422
0.0005,0.333225,0.10017
0.000517856,0.399667,0.0664422
0.00075,0.499837,0.10017
0.000767856,0.566279,0.0664422
0.001,0.666449,0.10017
0.00101786,0.732891,0.0664422
0.00125,0.833062,0.10017
0.00126786,0.899504,0.0664422
0.0015,0.999674,0.10017
0.00151786,1.06612,0.0664422
0.00175,1.16629,0.10017
0.00176786,1.23273,0.0664422
0.002,1.3329,0.10017
0.00201786,1.39934,0.0664422
0.00225,1.49951,0.10017
0.00226786,1.56595,0.0664422
0.0025,1.66612,0.10017
0.00251786,1.73257,0.0664422
0.00275,1.83274,0.10017
0.00276786,1.89918,0.0664422
0.003,1.99935,0.10017
0.00301786,2.06579,0.0664422
0.00325,2.16596,0.10017
0.00326786,2.2324,0.0664422
0.0035,2.33257,0.10017
0.00351786,2.39901,0.0664422
0.00375,2.49918,0.10017
0.00376786,2.56563,0.0664422
0.004,2.6658,0.10017
0.00401786,2.73224,0.0664422
0.00425,2.83241,0.10017
0.00426786,2.89885,0.0664422
0.0045,2.99902,0.10017
0.00451786,3.06546,0.0664422
0.00475,3.16563,0.10017
0.00476786,3.23208,0.0664422
0.005,3.33225,0.10017
0.00501786,3.39869,0.0664422
0.00525,3.49886,0.10017
0.00526786,3.5653,0.0664422
0.0055,3.66547,0.10017
0.00551786,3.73191,0.0664422
0.00575,3.83208,0.10017
0.00576786,3.89853,0.0664422
0.006,3.9987,0.10017
0.00601786,4.06514,0.0664422
0.00625,4.16531,0.10017
0.00626786,4.23175,0.0664422
0.0065,4.33192,0.10017
0.00651786,4.39836,0.0664422
0.00675,4.49853,0.10017
0.00676786,4.56497,0.0664422
0.007,4.66514,0.10017
0.00701786,4.73159,0.0664422
0.00725,4.83176,0.10017
0.00726786,4.8982,0.0664422
0.0075,4.99837,0.10017
0.00751786,5.06481,0.0664422
0.00775,5.16498,0.10017
0.00776786,5.23142,0.0664422
0.008,5.33159,0.10017
0.00801786,5.39804,0.0664422
0.00825,5.49821,0.10017
0.00826786,5.56465,0.0664422
0.0085,5.66482,0.10017
0.00851786,5.73126,0.0664422
0.00875,5.83143,0.10017
0.00876786,5.89787,0.0664422
0.009,5.99804,0.10017
0.00901786,6.06449,0.0664422
0.00925,6.16466,0.10017
0.00926786,6.2311,0.0664422
0.0095,6.33127,0.10017
0.00951786,6.39771,0.0664422
0.00975,6.49788,0.10017
0.00976786,6.56432,0.0664422
0.01,6.66449,0.10017
0.0100179,6.73093,0.0664422
0.01025,6.8311,0.10017
0.0102679,6.89755,0.0664422
0.0105,6.99772,0.10017
0.0105179,7.06416,0.0664422
0.01075,7.16433,0.10017
0.0107679,7.23077,0.0664422
0.011,7.33094,0.10017
0.0110179,7.39738,0.0664422
0.01125,7.49755,0.10017
0.0112679,7.564,0.0664422
0.0115,7.66417,0.10017
0.0115179,7.73061,0.0664422
0.01175,7.83078,0.10017
0.0117679,7.89722,0.0664422
0.012,7.99739,0.10017
0.0120179,8.06383,0.0664422
0.01225,8.164,0.10017
0.0122679,8.23045,0.0664422
0.0125,8.33062,0.10017
0.0125179,8.39706,0.0664422
0.01275,8.49723,0.10017
0.0127679,8.56367,0.0664422
0.013,8.66384,0.10017
0.0130179,8.73028,0.0664422
0.01325,8.83045,0.10017
0.0132679,8.89689,0.0664422
0.0135,8.99706,0.10017
0.0135179,9.06351,0.0664422
0.01375,9.16368,0.10017
0.0137679,9.23012,0.0664422
0.014,9.33029,0.10017
0.0140179,9.39673,0.0664422
0.01425,9.4969,0.10017
0.0142679,9.56334,0.0664422
0.0145,9.66351,0.10017
0.0145179,9.72996,0.0664422
0.01475,9.83013,0.10017
0.0147679,9.89657,0.0664422
0.015,9.99674,0.10017
0.0150179,10.0632,0.0664422
0.01525,10.1634,0.10017
0.0152679,10.2298,0.0664422
